answer,comprehension,question,sentence,subject_nr
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,16
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,16
SI,A,Emma pasó semanas investigando.,Emma investigó una empresaria en la ciudad durante varias semanas.,16
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,16
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,16
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a una turista en el aeropuerto durante una hora.,16
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,16
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,16
SI,A,Había fuego en la plaza.,Carlos quemó la página en la plaza en pocos minutos.,16
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,16
SI,A,Helena estaba en el patio.,Helena colgó a una criminal en el patio en cinco minutos.,16
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,16
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,16
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a una conductora en el barrio en pocos instantes.,16
SI,A,Isabel miraba por la ventana.,Isabel vió la estudiante desde su ventana durante una mañana.,16
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,16
SI,A,Valeria fue a un concierto.,Valeria admiró una cantante en el teatro durante el concierto.,16
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,16
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,16
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,16
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,16
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,16
SI,E,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,16
SI,A,Lucia estaba en un bar.,Lucía destrozó a la mesa en el bar en diez minutos.,16
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,16
NO,E,Pedro observó durante unos minutos.,Pedro observó la planta en la oficina durante una hora.,16
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,16
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la pelota en la cancha en un instante.,16
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,17
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la caja en la casa en un día.,17
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la turista en el aeropuerto durante una hora.,17
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,17
NO,E,María iba en bicicleta.,María transportó a una mochilera en la furgoneta durante un día.,17
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a la agresora en el aeropuerto en dos horas.,17
SI,A,Anna estaba en la escuela.,Anna comprendió a la tarea en la escuela en dos minutos.,17
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la actriz en la calle en diez segundos.,17
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,17
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,17
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,17
NO,E,El beso tuvo lugar en un museo.,Francisco besó a una novia en la iglesia durante unos segundos.,17
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,17
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a la conductora en el barrio en pocos instantes.,17
SI,E,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,17
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,17
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,17
SI,A,Emma pasó semanas investigando.,Emma investigó a la epidemia en la ciudad durante varias semanas.,17
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,17
NO,E,La acción tuvo lugar en el parque.,Simón pateó la jugadora en la cancha en un instante.,17
SI,A,Helena estaba en un campo de fútbol.,Helena derribó la barrera en el campo durante el partido.,17
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,17
NO,E,La guerra duró más de dos años.,Valentina venció a la adversaria en la guerra en dos años.,17
SI,A,Hubo un asedio en la región.,Carla asedió la ciudad en la región durante bastante tiempo.,17
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó una oponente en el bar en diez minutos.,17
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,17
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,17
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,17
SI,A,Helena estaba en el patio.,Helena colgó a la fotografía en el patio en cinco minutos.,17
SI,A,Valeria fue a un concierto.,Valeria admiró a una cantante en el teatro durante el concierto.,17
NO,E,El combate duró varias horas.,Paula abatió la contrincante en el ring en pocos minutos.,17
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,17
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,17
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,17
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,17
SI,E,Felipe es presentador de teatro.,Felipe anunció a una cantante en el escenario en cinco minutos.,17
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,17
NO,E,Carmen vio una representación teatral.,Carmen odió la música en el cine durante la película.,17
NO,E,Pedro observó durante unos minutos.,Pedro observó a una secretaria en la oficina durante una hora.,17
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,17
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,17
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,17
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,17
SI,A,Había fuego en la plaza.,Carlos quemó una bruja en la plaza en pocos minutos.,17
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,17
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,17
SI,A,Isabel miraba por la ventana.,Isabel vió a la tormenta desde su ventana durante una mañana.,17
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,17
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,18
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,18
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la pelota en la cancha en un instante.,18
SI,A,Martin estaba en el hospital.,Martín buscó a la médica en el hospital durante dos horas.,18
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,18
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,18
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,18
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,18
SI,A,Isabel miraba por la ventana.,Isabel vió la tormenta desde su ventana durante una mañana.,18
NO,E,El combate duró varias horas.,Paula abatió a la contrincante en el ring en pocos minutos.,18
NO,A,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,18
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la agresora en el aeropuerto en dos horas.,18
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,18
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la invitada en la casa en un día.,18
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,18
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,18
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,18
SI,A,Hubo un asedio en la región.,Carla asedió una contrincante en la región durante bastante tiempo.,18
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,18
NO,E,El beso tuvo lugar en un museo.,Francisco besó a una novia en la iglesia durante unos segundos.,18
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a una conductora en el barrio en pocos instantes.,18
NO,E,La guerra duró más de dos años.,Valentina venció a la adversaria en la guerra en dos años.,18
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,18
NO,E,María iba en bicicleta.,María transportó a la mochilera en la furgoneta durante un día.,18
SI,A,La acción tuvo lugar en la calle.,Juan golpeó la piedra en la calle en diez segundos.,18
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,18
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró una turista en el aeropuerto durante una hora.,18
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,18
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,18
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,18
SI,A,Helena estaba en el patio.,Helena colgó a una criminal en el patio en cinco minutos.,18
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,18
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,18
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,18
SI,A,Emma pasó semanas investigando.,Emma investigó a la empresaria en la ciudad durante varias semanas.,18
SI,A,Felipe es presentador de teatro.,Felipe anunció a la actuación en el escenario en cinco minutos.,18
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó la oponente en el bar en diez minutos.,18
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,18
NO,E,Carmen vio una representación teatral.,Carmen odió la música en el cine durante la película.,18
SI,A,Anna estaba en la escuela.,Anna comprendió a una maestra en la escuela en dos minutos.,18
SI,A,Helena estaba en un campo de fútbol.,Helena derribó la barrera en el campo durante el partido.,18
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,18
SI,A,Valeria fue a un concierto.,Valeria admiró la escenografía en el teatro durante el concierto.,18
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,18
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,18
NO,E,Pedro observó durante unos minutos.,Pedro observó la planta en la oficina durante una hora.,18
SI,A,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,18
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,18
SI,A,Isabel miraba por la ventana.,Isabel vió a la tormenta desde su ventana durante una mañana.,19
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,19
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,19
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la conductora en el barrio en pocos instantes.,19
SI,A,Helena estaba en el patio.,Helena colgó a la fotografía en el patio en cinco minutos.,19
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,19
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,19
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,19
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,19
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,19
SI,A,Había fuego en la plaza.,Carlos quemó una bruja en la plaza en pocos minutos.,19
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,19
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,19
SI,A,Lucia estaba en un bar.,Lucía destrozó a la mesa en el bar en diez minutos.,19
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,19
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,19
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,19
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,19
SI,A,Anna estaba en la escuela.,Anna comprendió a la maestra en la escuela en dos minutos.,19
SI,A,Emma pasó semanas investigando.,Emma investigó a una empresaria en la ciudad durante varias semanas.,19
NO,E,La guerra duró más de dos años.,Valentina venció una adversaria en la guerra en dos años.,19
NO,E,El beso tuvo lugar en un museo.,Francisco besó la cruz en la iglesia durante unos segundos.,19
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió una invitada en la casa en un día.,19
SI,E,Helena estaba en un campo de fútbol.,Helena derribó a la barrera en el campo durante el partido.,19
NO,E,María iba en bicicleta.,María transportó la mochilera en la furgoneta durante un día.,19
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,19
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,19
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,19
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,19
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,19
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,19
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,19
SI,A,Martin estaba en el hospital.,Martín buscó a una médica en el hospital durante dos horas.,19
NO,E,El combate duró varias horas.,Paula abatió la resistencia en el ring en pocos minutos.,19
SI,A,Valeria fue a un concierto.,Valeria admiró la cantante en el teatro durante el concierto.,19
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,19
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,19
SI,A,Felipe es presentador de teatro.,Felipe anunció una cantante en el escenario en cinco minutos.,19
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,19
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a una turista en el aeropuerto durante una hora.,19
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la jugadora en la cancha en un instante.,19
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,19
NO,E,Pedro observó durante unos minutos.,Pedro observó a la secretaria en la oficina durante una hora.,19
SI,A,Hubo un asedio en la región.,Carla asedió la ciudad en la región durante bastante tiempo.,19
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,19
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,19
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,19
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,19
SI,A,Emma pasó semanas investigando.,Emma investigó a una empresaria en la ciudad durante varias semanas.,20
SI,A,Anna estaba en la escuela.,Anna comprendió la tarea en la escuela en dos minutos.,20
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,20
SI,A,Helena estaba en el patio.,Helena colgó a una criminal en el patio en cinco minutos.,20
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,20
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,20
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó una oponente en el bar en diez minutos.,20
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,20
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,20
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,20
SI,A,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,20
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,20
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,20
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,20
NO,E,El beso tuvo lugar en un museo.,Francisco besó la novia en la iglesia durante unos segundos.,20
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió a la invitada en la casa en un día.,20
NO,A,La acción tuvo lugar en el parque.,Simón pateó la pelota en la cancha en un instante.,20
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,20
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró a la turista en el aeropuerto durante una hora.,20
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,20
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,20
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó a la agresora en el aeropuerto en dos horas.,20
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,20
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,20
NO,E,La guerra duró más de dos años.,Valentina venció una adversaria en la guerra en dos años.,20
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la piedra en la calle en diez segundos.,20
SI,A,Martin estaba en el hospital.,Martín buscó una médica en el hospital durante dos horas.,20
NO,E,Pedro observó durante unos minutos.,Pedro observó a la planta en la oficina durante una hora.,20
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,20
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,20
NO,E,María iba en bicicleta.,María transportó a una mochilera en la furgoneta durante un día.,20
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,20
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó la futbolista en el campo durante el partido.,20
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,20
SI,A,Felipe es presentador de teatro.,Felipe anunció la actuación en el escenario en cinco minutos.,20
NO,E,El combate duró varias horas.,Paula abatió la contrincante en el ring en pocos minutos.,20
NO,A,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,20
SI,A,Valeria fue a un concierto.,Valeria admiró la escenografía en el teatro durante el concierto.,20
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,20
SI,A,Isabel miraba por la ventana.,Isabel vió a la tormenta desde su ventana durante una mañana.,20
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,20
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,20
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,20
SI,A,Hubo un asedio en la región.,Carla asedió a la ciudad en la región durante bastante tiempo.,20
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,20
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,20
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó una conductora en el barrio en pocos instantes.,20
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,20
SI,A,La acción tuvo lugar en la calle.,Juan golpeó a la actriz en la calle en diez segundos.,21
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la invitada en la casa en un día.,21
NO,A,La guerra duró más de dos años.,Valentina venció la resistencia en la guerra en dos años.,21
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,21
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,21
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó una futbolista en el campo durante el partido.,21
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,21
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,21
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,21
NO,E,El combate duró varias horas.,Paula abatió la resistencia en el ring en pocos minutos.,21
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,21
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,21
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,21
SI,A,Había fuego en la plaza.,Carlos quemó una bruja en la plaza en pocos minutos.,21
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,21
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,21
NO,A,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a la conductora en el barrio en pocos instantes.,21
NO,A,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,21
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,21
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,21
NO,E,Lucía y su compañero estaban en el salón.,Lucía ofreció un café a su compañero en la cocina.,21
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,21
SI,A,Martin estaba en el hospital.,Martín buscó una médica en el hospital durante dos horas.,21
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró una turista en el aeropuerto durante una hora.,21
NO,E,Carmen vio una representación teatral.,Carmen odió una vendedora en el cine durante la película.,21
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó la oponente en el bar en diez minutos.,21
NO,E,El beso tuvo lugar en un museo.,Francisco besó la novia en la iglesia durante unos segundos.,21
SI,A,Helena estaba en el patio.,Helena colgó la criminal en el patio en cinco minutos.,21
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,21
NO,E,María iba en bicicleta.,María transportó a la guitarra en la furgoneta durante un día.,21
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,21
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,21
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,21
SI,A,Emma pasó semanas investigando.,Emma investigó una empresaria en la ciudad durante varias semanas.,21
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,21
SI,A,Hubo un asedio en la región.,Carla asedió a la contrincante en la región durante bastante tiempo.,21
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,21
SI,A,Isabel miraba por la ventana.,Isabel vió una estudiante desde su ventana durante una mañana.,21
SI,A,Anna estaba en la escuela.,Anna comprendió la tarea en la escuela en dos minutos.,21
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,21
SI,E,Felipe es presentador de teatro.,Felipe anunció la cantante en el escenario en cinco minutos.,21
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,21
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,21
NO,E,Pedro observó durante unos minutos.,Pedro observó a la secretaria en la oficina durante una hora.,21
SI,A,Valeria fue a un concierto.,Valeria admiró la cantante en el teatro durante el concierto.,21
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la jugadora en la cancha en un instante.,21
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,21
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,21
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó a una conductora en el barrio en pocos instantes.,22
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,22
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,22
SI,A,Anna estaba en la escuela.,Anna comprendió una maestra en la escuela en dos minutos.,22
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,22
NO,E,María iba en bicicleta.,María transportó a la mochilera en la furgoneta durante un día.,22
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,22
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,22
NO,E,El beso tuvo lugar en un museo.,Francisco besó a la cruz en la iglesia durante unos segundos.,22
NO,E,El combate duró varias horas.,Paula abatió a una contrincante en el ring en pocos minutos.,22
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,22
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,22
SI,A,Había fuego en la plaza.,Carlos quemó la bruja en la plaza en pocos minutos.,22
SI,A,Valeria fue a un concierto.,Valeria admiró la escenografía en el teatro durante el concierto.,22
SI,A,Isabel miraba por la ventana.,Isabel vió a la tormenta desde su ventana durante una mañana.,22
NO,E,Carmen vio una representación teatral.,Carmen odió la música en el cine durante la película.,22
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,22
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,22
NO,E,Luis envió un paquete a su hermano.,Luis envíe un paquete a su primo en Alemania.,22
NO,E,Pedro observó durante unos minutos.,Pedro observó a la secretaria en la oficina durante una hora.,22
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,22
SI,E,Helena estaba jugando un partido de fútbol.,Helena derribó una futbolista en el campo durante el partido.,22
NO,E,La acción tuvo lugar en el parque.,Simón pateó la jugadora en la cancha en un instante.,22
SI,A,Emma pasó semanas investigando.,Emma investigó a la empresaria en la ciudad durante varias semanas.,22
SI,A,Hubo un asedio en la región.,Carla asedió una contrincante en la región durante bastante tiempo.,22
NO,E,La guerra duró más de dos años.,Valentina venció la resistencia en la guerra en dos años.,22
SI,E,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,22
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,22
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,22
NO,E,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,22
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,22
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,22
SI,A,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la turista en el aeropuerto durante una hora.,22
SI,A,Ana estaba en la biblioteca.,Nos encontramos con Ana después de clase en la biblioteca.,22
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,22
SI,A,Helena estaba en el patio.,Helena colgó la fotografía en el patio en cinco minutos.,22
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,22
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,22
SI,E,Felipe es presentador de teatro.,Felipe anunció la actuación en el escenario en cinco minutos.,22
NO,E,Alejandro estaba en el centro comercial.,Alejandro identificó la amenaza en el aeropuerto en dos horas.,22
